5
23Al	13	23	71.77	1.598	-2.513	26.33	0.02015	5.178	1.20E+03
22Mg	12	22	76.94	1.147	-1.977	25.86	2.615	0.6581	7.43E+02
16N	7	16	54.19	0.3471	-38.94	28.1	-2.703	0.5842	4.10E+02
19F	9	19	59.98	0.483	82.09	25.51	2.539	0.7265	4.53E+02
15C	6	15	46.03	0.8422	92.73	27.62	-1.517	2.077	1.01E+02
